Day_of_Week,Time_of_Day,Total_Withdrawals,Total_Deposits,Location_Type,Holiday_Flag,Special_Event_Flag,Previous_Day_Cash_Level,Weather_Condition,Nearby_Competitor_ATMs,Cash_Demand_Next_Day
Monday,Morning,57450.0,9308.0,Standalone,0.0,0.0,112953.0,Rainy,5.0,44165.0
Friday,Morning,72845.0,17896.0,Supermarket,0.0,0.0,115348.0,Clear,0.0,41249.0
Saturday,Morning,42957.0,12712.0,Supermarket,0.0,0.0,90731.0,Cloudy,1.0,29901.0
Sunday,Evening,43014.0,1375.0,Mall,0.0,0.0,88754.0,Rainy,5.0,44155.0
Thursday,Evening,36379.0,2938.0,Bank Branch,0.0,0.0,129312.0,Snowy,0.0,29784.0
Wednesday,Morning,46613.0,7278.0,Standalone,0.0,0.0,102218.0,Snowy,0.0,49358.0
Sunday,Morning,40990.0,8541.0,Gas Station,0.0,0.0,87965.0,Snowy,5.0,28407.0
Friday,Afternoon,77784.0,14112.0,Mall,0.0,0.0,75583.0,Rainy,2.0,61200.0
Saturday,Morning,30077.0,10984.0,Gas Station,0.0,0.0,114769.0,Snowy,1.0,18557.0
Friday,Afternoon,52570.0,9421.0,Standalone,0.0,0.0,93977.0,Clear,4.0,44240.0
Saturday,Afternoon,43090.0,15285.0,Bank Branch,0.0,0.0,106872.0,Snowy,5.0,23127.0
Tuesday,Afternoon,23554.0,6615.0,Standalone,0.0,0.0,112233.0,Clear,1.0,12890.0
Sunday,Night,65464.0,14656.0,Standalone,0.0,0.0,83215.0,Snowy,1.0,63076.0
Saturday,Night,45361.0,7604.0,Gas Station,0.0,0.0,96286.0,Rainy,1.0,36893.0
Saturday,Evening,62187.0,16781.0,Supermarket,0.0,0.0,98559.0,Cloudy,2.0,38349.0
Sunday,Night,65052.0,11806.0,Mall,0.0,0.0,130760.0,Clear,1.0,63284.0
Monday,Night,10703.0,14109.0,Supermarket,0.0,0.0,101740.0,Cloudy,4.0,0.0
Monday,Evening,45514.0,8901.0,Supermarket,0.0,0.0,107142.0,Clear,5.0,36069.0
Thursday,Evening,37872.0,7491.0,Standalone,0.0,0.0,118308.0,Cloudy,1.0,38027.0
Tuesday,Evening,54931.0,10485.0,Supermarket,0.0,0.0,119372.0,Clear,5.0,51745.0
Tuesday,Afternoon,39469.0,8361.0,Bank Branch,0.0,0.0,92157.0,Rainy,4.0,36710.0
Wednesday,Morning,28047.0,10025.0,Supermarket,0.0,0.0,95308.0,Clear,0.0,20994.0
Friday,Afternoon,44859.0,5988.0,Mall,0.0,0.0,96774.0,Clear,0.0,40097.0
Saturday,Morning,56060.0,11287.0,Supermarket,0.0,0.0,98511.0,Rainy,5.0,59365.0
Monday,Afternoon,21218.0,9867.0,Standalone,0.0,0.0,101204.0,Cloudy,1.0,11103.0
Friday,Afternoon,86948.0,9038.0,Standalone,0.0,0.0,106030.0,Snowy,3.0,67866.0
Saturday,Morning,67142.0,13759.0,Bank Branch,0.0,0.0,115820.0,Snowy,0.0,52361.0
Saturday,Afternoon,36359.0,12934.0,Supermarket,0.0,0.0,143809.0,Clear,5.0,18531.0
Wednesday,Afternoon,35141.0,7168.0,Mall,0.0,0.0,101993.0,Snowy,0.0,40993.0
Thursday,Evening,42447.0,2246.0,Gas Station,0.0,0.0,101371.0,Rainy,5.0,43593.0
Monday,Night,36208.0,17749.0,Bank Branch,0.0,0.0,84334.0,Cloudy,1.0,25698.0
Sunday,Night,45169.0,14067.0,Standalone,0.0,0.0,75382.0,Cloudy,5.0,39961.0
Tuesday,Morning,25887.0,10923.0,Mall,0.0,0.0,105197.0,Snowy,0.0,16851.0
Saturday,Afternoon,61727.0,12609.0,Supermarket,0.0,0.0,105939.0,Cloudy,1.0,60063.0
Wednesday,Afternoon,39799.0,11161.0,Mall,0.0,0.0,105861.0,Clear,0.0,25441.0
Saturday,Morning,39284.0,19328.0,Mall,0.0,0.0,109476.0,Rainy,1.0,36840.0
Saturday,Night,35379.0,13935.0,Bank Branch,0.0,0.0,123171.0,Clear,1.0,24612.0
Monday,Night,37689.0,14110.0,Standalone,0.0,0.0,137935.0,Cloudy,2.0,28914.0
Friday,Night,36657.0,5920.0,Bank Branch,0.0,0.0,98457.0,Rainy,0.0,37577.0
Monday,Morning,55117.0,10065.0,Standalone,0.0,0.0,129070.0,Cloudy,4.0,49301.0
Saturday,Morning,59385.0,5714.0,Supermarket,0.0,0.0,78582.0,Rainy,0.0,64265.0
Friday,Afternoon,57237.0,8882.0,Gas Station,0.0,0.0,114280.0,Rainy,4.0,37579.0
Thursday,Morning,57098.0,9635.0,Gas Station,0.0,0.0,83064.0,Snowy,2.0,58773.0
Friday,Evening,27277.0,11070.0,Bank Branch,0.0,0.0,75085.0,Rainy,5.0,22648.0
Friday,Night,36742.0,10768.0,Standalone,0.0,0.0,101164.0,Clear,0.0,39915.0
Friday,Morning,32855.0,15415.0,Mall,0.0,0.0,121076.0,Snowy,1.0,21038.0
Saturday,Afternoon,57725.0,12568.0,Standalone,0.0,0.0,110300.0,Cloudy,4.0,54244.0
Sunday,Morning,91127.375,14770.0,Supermarket,0.0,0.0,113027.0,Clear,1.0,87239.375
Friday,Morning,38407.0,8815.0,Supermarket,0.0,0.0,90292.0,Snowy,4.0,31079.0
Sunday,Afternoon,51228.0,13431.0,Standalone,0.0,0.0,67745.0,Snowy,0.0,34641.0
Thursday,Night,42921.0,15444.0,Standalone,0.0,0.0,101285.0,Snowy,1.0,38167.0
Monday,Afternoon,33833.0,6348.0,Gas Station,0.0,0.0,104329.0,Cloudy,4.0,22905.0
Monday,Morning,82159.0,13169.0,Bank Branch,0.0,0.0,59497.0,Snowy,4.0,83492.0
Wednesday,Night,52796.0,6037.0,Bank Branch,0.0,0.0,97705.0,Snowy,0.0,36847.0
Thursday,Afternoon,57574.0,14328.0,Mall,0.0,0.0,75994.0,Cloudy,4.0,40705.0
Wednesday,Afternoon,44982.0,18827.0,Bank Branch,0.0,0.0,108099.0,Rainy,3.0,42815.0
Sunday,Evening,81832.0,15162.0,Gas Station,0.0,0.0,69612.0,Rainy,2.0,63791.0
Wednesday,Morning,42736.0,12219.0,Gas Station,0.0,0.0,115492.0,Cloudy,1.0,35587.0
Monday,Evening,8474.375,4878.0,Standalone,0.0,0.0,94948.0,Rainy,1.0,0.0
Tuesday,Afternoon,31283.0,7799.0,Gas Station,0.0,0.0,102614.0,Clear,2.0,23373.0
Thursday,Night,67447.0,10051.0,Supermarket,0.0,0.0,80369.0,Clear,0.0,47607.0
Saturday,Evening,56931.0,10349.0,Mall,0.0,0.0,92293.0,Cloudy,2.0,58803.0
Friday,Night,73790.0,3810.0,Supermarket,0.0,0.0,142660.0,Clear,3.0,87239.375
Thursday,Evening,20718.0,11404.0,Mall,0.0,0.0,87546.0,Clear,4.0,9643.0
Tuesday,Afternoon,41159.0,14248.0,Standalone,0.0,0.0,107140.0,Snowy,4.0,29906.0
Saturday,Morning,39606.0,14064.0,Standalone,0.0,0.0,112592.0,Cloudy,2.0,27873.0
Friday,Evening,61209.0,13051.0,Supermarket,0.0,0.0,99581.0,Cloudy,5.0,46483.0
Saturday,Afternoon,51759.0,12735.0,Supermarket,0.0,0.0,95956.0,Cloudy,4.0,50080.0
Tuesday,Evening,62381.0,14067.0,Bank Branch,0.0,0.0,126109.0,Snowy,3.0,44558.0
Wednesday,Afternoon,50315.0,11620.0,Supermarket,0.0,0.0,97397.0,Rainy,5.0,50242.0
Tuesday,Evening,37726.0,20461.0,Mall,0.0,0.0,79879.0,Rainy,5.0,22401.0
Friday,Afternoon,31787.0,13120.0,Bank Branch,0.0,0.0,112566.0,Rainy,3.0,16785.0
Wednesday,Night,51137.0,6614.0,Gas Station,0.0,0.0,119502.0,Rainy,5.0,44393.0
Sunday,Night,47794.0,12064.0,Gas Station,0.0,0.0,88725.0,Clear,0.0,43412.0
Sunday,Afternoon,53674.0,7465.0,Bank Branch,0.0,0.0,90579.0,Cloudy,0.0,37345.0
Tuesday,Morning,53480.0,2759.0,Gas Station,0.0,0.0,71850.0,Cloudy,5.0,57485.0
Thursday,Evening,39223.0,8932.0,Gas Station,0.0,0.0,106218.0,Cloudy,4.0,29520.0
Sunday,Night,72130.0,9904.0,Gas Station,0.0,0.0,79949.0,Rainy,5.0,50758.0
Sunday,Night,54840.0,5863.0,Bank Branch,0.0,0.0,110386.0,Clear,5.0,60947.0
Monday,Evening,72991.0,13450.0,Standalone,0.0,0.0,91975.0,Clear,1.0,51718.0
Thursday,Night,53361.0,10062.0,Bank Branch,0.0,0.0,101953.0,Clear,3.0,55715.0
Monday,Night,38404.0,17255.0,Gas Station,0.0,0.0,119185.0,Cloudy,3.0,23663.0
Tuesday,Morning,63084.0,10916.0,Supermarket,0.0,0.0,143796.0,Clear,2.0,50981.0
Saturday,Night,37875.0,0.0,Supermarket,0.0,0.0,89484.0,Rainy,3.0,39142.0
Friday,Night,55126.0,19380.0,Gas Station,0.0,0.0,119008.0,Snowy,5.0,47933.0
Sunday,Afternoon,41346.0,3398.0,Gas Station,0.0,0.0,136629.0,Clear,3.0,52332.0
Tuesday,Morning,67691.0,7654.0,Mall,0.0,0.0,65737.0,Rainy,3.0,73364.0
Monday,Evening,70308.0,9427.0,Gas Station,0.0,0.0,124756.0,Cloudy,2.0,61910.0
Tuesday,Evening,50078.0,10234.0,Gas Station,0.0,0.0,90998.0,Clear,3.0,48309.0
Friday,Morning,59342.0,10601.0,Standalone,0.0,0.0,110288.0,Clear,5.0,44039.0
Tuesday,Afternoon,26988.0,16388.0,Bank Branch,0.0,0.0,106646.0,Rainy,1.0,12684.0
Sunday,Morning,38772.0,15896.0,Supermarket,0.0,0.0,101350.0,Cloudy,5.0,34170.0
Friday,Afternoon,46265.0,14857.0,Supermarket,0.0,0.0,112907.0,Clear,1.0,41031.0
Thursday,Morning,70529.0,15292.0,Standalone,0.0,0.0,64825.0,Cloudy,3.0,56498.0
Saturday,Morning,45958.0,13587.0,Supermarket,0.0,0.0,130047.0,Rainy,0.0,33036.0
Saturday,Morning,51111.0,1483.0,Supermarket,0.0,0.0,98889.0,Snowy,4.0,48807.0
Thursday,Evening,18988.0,9554.0,Mall,0.0,0.0,73910.0,Snowy,0.0,10373.0
Wednesday,Morning,60045.0,11832.0,Gas Station,0.0,0.0,81202.0,Cloudy,5.0,51443.0
Wednesday,Afternoon,49059.0,14775.0,Supermarket,0.0,0.0,80285.0,Snowy,4.0,42331.0
Thursday,Night,57560.0,7348.0,Gas Station,0.0,0.0,84142.0,Snowy,2.0,46123.0
Wednesday,Evening,48394.0,4823.0,Gas Station,0.0,0.0,88927.0,Cloudy,4.0,44383.0
Thursday,Night,32031.0,6501.0,Standalone,0.0,0.0,104279.0,Snowy,1.0,30573.0
Saturday,Evening,48315.0,8895.0,Standalone,0.0,0.0,112283.0,Snowy,4.0,36839.0
Wednesday,Afternoon,61362.0,8624.0,Mall,0.0,0.0,53961.0,Cloudy,3.0,58361.0
Sunday,Night,74674.0,8754.0,Gas Station,0.0,0.0,111531.0,Clear,0.0,68316.0
Monday,Night,54668.0,9360.0,Bank Branch,0.0,0.0,80889.0,Snowy,3.0,49566.0
Wednesday,Evening,38654.0,2888.0,Gas Station,0.0,0.0,87068.0,Snowy,2.0,37044.0
Monday,Evening,33776.0,18435.0,Standalone,0.0,0.0,117632.0,Clear,5.0,23870.0
Sunday,Morning,51160.0,5693.0,Supermarket,0.0,0.0,130462.0,Rainy,1.0,53551.0
